reporting_cutoff,observation_start,county_slug,county_name,primary_opportunity,recruitment_level,recruitment_signal_count,engagement_level,engagement_signal_count,limited_data,children_currently_in_care,current_kin_placements,current_foster_placements,current_nonfamily_placements,current_foster_homes,children_per_current_home,local_foster_placements,out_of_county_foster_placements,local_placement_rate,homes_with_current_placement,homes_with_recent_activity,homes_without_recent_activity,median_observed_active_day_rate,renewals_within_90_days
2026-07-01,2022-01-01,adams,Adams,recruitment,possible,1,review,0,0,50,25,25,0,29,1.7241379310344827,16,9,0.64000000000000001,25,28,1,0.67539585870889163,12
2026-07-01,2022-01-01,alexander,Alexander,engagement,limited,0,possible,1,1,3,2,1,0,18,0.16666666666666666,0,1,0,16,17,1,0.59257003654080387,6
2026-07-01,2022-01-01,bond,Bond,review,limited,0,review,0,1,18,7,11,0,25,0.71999999999999997,5,6,0.45454545454545453,21,24,1,0.87948084054388131,9
2026-07-01,2022-01-01,boone,Boone,recruitment,possible,1,review,0,0,47,19,28,0,31,1.5161290322580645,4,24,0.14285714285714285,26,29,2,0.76963350785340312,13
2026-07-01,2022-01-01,brown,Brown,review,limited,0,review,0,1,5,3,2,0,13,0.38461538461538464,1,1,0.5,11,13,0,0.8607498087222647,2
2026-07-01,2022-01-01,bureau,Bureau,engagement,limited,0,possible,1,1,24,12,12,0,19,1.263157894736842,7,5,0.58333333333333337,16,19,0,0.76309378806333739,10
2026-07-01,2022-01-01,calhoun,Calhoun,engagement,limited,0,possible,1,1,2,0,2,0,16,0.125,0,2,0,13,15,1,0.7284463352749635,9
2026-07-01,2022-01-01,carroll,Carroll,engagement,limited,0,possible,1,1,7,5,2,0,21,0.33333333333333331,2,0,1,19,20,1,0.63337393422655297,9
2026-07-01,2022-01-01,cass,Cass,review,limited,0,review,0,1,7,5,2,0,17,0.41176470588235292,0,2,0,14,16,1,0.76374745417515277,6
2026-07-01,2022-01-01,champaign,Champaign,recruitment,higher,2,review,0,0,103,47,56,0,24,4.291666666666667,9,47,0.16071428571428573,20,22,2,0.71691701387172224,6
2026-07-01,2022-01-01,christian,Christian,engagement,limited,0,possible,1,1,29,16,13,0,21,1.3809523809523809,4,9,0.30769230769230771,18,21,0,0.46259351620947631,10
2026-07-01,2022-01-01,clark,Clark,review,limited,0,review,0,1,14,7,7,0,14,1,2,5,0.2857142857142857,11,13,1,0.74725943970767361,6
2026-07-01,2022-01-01,clay,Clay,review,limited,0,review,0,1,7,1,6,0,18,0.3888888888888889,0,6,0,14,18,0,0.7295980511571255,8
2026-07-01,2022-01-01,clinton,Clinton,review,limited,0,review,0,1,29,10,18,1,18,1.6111111111111112,3,15,0.16666666666666666,16,18,0,0.84396965330798257,3
2026-07-01,2022-01-01,coles,Coles,engagement,limited,1,higher,2,1,32,14,18,0,18,1.7777777777777777,5,13,0.27777777777777779,11,15,3,0.53009251954838343,7
2026-07-01,2022-01-01,cook,Cook,recruitment,higher,2,possible,1,0,1933,879,1044,10,156,12.391025641025641,180,864,0.17241379310344829,124,142,14,0.63946406820950052,73
2026-07-01,2022-01-01,crawford,Crawford,engagement,limited,0,possible,1,1,10,3,7,0,17,0.58823529411764708,5,2,0.7142857142857143,15,16,1,0.59317904993909865,4
2026-07-01,2022-01-01,cumberland,Cumberland,engagement,limited,0,possible,1,1,9,4,5,0,22,0.40909090909090912,2,3,0.40000000000000002,17,21,1,0.63763702801461641,10
2026-07-01,2022-01-01,de-witt,De Witt,engagement,limited,0,possible,1,1,10,4,6,0,22,0.45454545454545453,2,4,0.33333333333333331,18,21,1,0.6504263093788063,12
2026-07-01,2022-01-01,dekalb,DeKalb,both,possible,1,possible,1,0,76,32,44,0,20,3.7999999999999998,12,32,0.27272727272727271,18,19,1,0.63473203410475032,7
2026-07-01,2022-01-01,douglas,Douglas,engagement,limited,0,possible,1,1,10,4,6,0,26,0.38461538461538464,2,4,0.33333333333333331,21,25,1,0.51800412055873735,7
2026-07-01,2022-01-01,dupage,DuPage,recruitment,possible,1,review,0,0,951,459,486,6,276,3.4456521739130435,146,340,0.30041152263374488,219,264,12,0.74382648918276195,103
2026-07-01,2022-01-01,edgar,Edgar,review,limited,0,review,0,1,11,3,8,0,11,1,2,6,0.25,11,11,0,0.68148599269183918,5
2026-07-01,2022-01-01,edwards,Edwards,engagement,limited,0,higher,3,1,5,1,4,0,13,0.38461538461538464,1,3,0.25,9,11,2,0.61491442542787289,10
2026-07-01,2022-01-01,effingham,Effingham,engagement,limited,0,higher,2,1,28,10,18,0,20,1.3999999999999999,6,12,0.33333333333333331,14,18,2,0.63855054811205847,9
2026-07-01,2022-01-01,fayette,Fayette,review,limited,0,review,0,1,16,7,9,0,18,0.88888888888888884,2,7,0.22222222222222221,15,18,0,0.79556361133633779,5
2026-07-01,2022-01-01,ford,Ford,engagement,limited,0,possible,1,1,8,0,8,0,15,0.53333333333333333,5,3,0.625,13,14,1,0.75091352009744217,9
2026-07-01,2022-01-01,franklin,Franklin,review,limited,0,review,0,1,25,14,11,0,19,1.3157894736842106,5,6,0.45454545454545453,17,19,0,0.67295980511571252,8
2026-07-01,2022-01-01,fulton,Fulton,engagement,limited,0,possible,1,1,23,10,13,0,22,1.0454545454545454,5,8,0.38461538461538464,19,20,2,0.75395858708891605,8
2026-07-01,2022-01-01,gallatin,Gallatin,engagement,limited,0,higher,2,1,2,0,2,0,16,0.125,2,0,1,13,14,2,0.66894834516138058,8
2026-07-01,2022-01-01,greene,Greene,review,limited,0,review,0,1,9,1,8,0,18,0.5,3,5,0.375,17,18,0,0.73732226097487219,5
2026-07-01,2022-01-01,grundy,Grundy,engagement,possible,1,higher,2,0,49,22,26,1,23,2.1304347826086958,8,18,0.30769230769230771,12,18,5,0.66808769792935441,13
